Age,Mileage,SocioEcon,GoodStudent,RiskAversion,OtherCar,VehicleYear,MakeModel,SeniorTrain,HomeBase,AntiTheft,RuggedAuto,Antilock,CarValue,Airbag,DrivingSkill,Theft,Cushioning,DrivQuality,DrivHist,Accident,ThisCarDam,OtherCarCost,MedCost,ILiCost,ThisCarCost,PropCost
Adult,FiveThou,Prole,False,Normal,False,Older,SportsCar,False,City,False,EggShell,True,TenThou,False,Normal,False,Poor,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adolescent,FiftyThou,Middle,False,Normal,True,Older,FamilySedan,False,Suburb,False,Tank,False,TenThou,True,SubStandard,False,Excellent,Poor,One,Mild,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adult,FiftyThou,Prole,False,Adventurous,True,Older,Economy,False,City,False,EggShell,False,FiveThou,False,SubStandard,False,Fair,Poor,Many,Severe,Severe,HundredThou,Thousand,Thousand,TenThou,HundredThou
Adult,FiftyThou,UpperMiddle,False,Adventurous,False,Current,SportsCar,False,Secure,False,EggShell,True,TenThou,True,Expert,False,Good,Excellent,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,Domino,UpperMiddle,False,Normal,True,Older,Luxury,False,Suburb,True,Football,False,TwentyThou,False,Normal,False,Fair,Normal,One,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,FiveThou,Middle,False,Adventurous,True,Older,Economy,False,Suburb,False,EggShell,False,FiveThou,False,Expert,False,Poor,Excellent,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,Domino,UpperMiddle,False,Adventurous,True,Current,SportsCar,False,City,False,EggShell,True,TwentyThou,True,Normal,False,Poor,Excellent,One,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,TwentyThou,Prole,False,Cautious,True,Older,Economy,False,Rural,True,Football,False,TenThou,False,Normal,False,Fair,Normal,Zero,Moderate,Moderate,HundredThou,Thousand,Thousand,TenThou,Million
Adult,FiftyThou,Prole,False,Cautious,False,Older,Economy,False,City,True,EggShell,False,FiveThou,False,SubStandard,False,Poor,Poor,Zero,Severe,Severe,TenThou,HundredThou,Thousand,TenThou,TenThou
Senior,TwentyThou,UpperMiddle,False,Normal,True,Current,FamilySedan,False,Secure,True,Tank,False,TenThou,True,SubStandard,False,Excellent,Poor,Many,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,TwentyThou,Middle,False,Normal,True,Current,FamilySedan,True,Suburb,False,Football,False,TwentyThou,True,Expert,False,Fair,Excellent,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adolescent,FiveThou,UpperMiddle,False,Normal,True,Current,SportsCar,False,Secure,True,EggShell,True,TwentyThou,True,SubStandard,False,Fair,Poor,Many,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adolescent,FiftyThou,Prole,False,Normal,False,Older,Economy,False,City,False,EggShell,False,FiveThou,False,SubStandard,False,Poor,Poor,Many,Mild,Mild,Thousand,Thousand,Thousand,Thousand,TenThou
Adult,Domino,Prole,False,Adventurous,False,Older,Economy,False,City,False,EggShell,False,FiveThou,False,SubStandard,False,Poor,Poor,Many,Severe,Severe,HundredThou,TenThou,Thousand,TenThou,HundredThou
Adult,FiftyThou,Middle,False,Normal,True,Older,Economy,False,Suburb,False,EggShell,False,FiveThou,False,Normal,False,Poor,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adolescent,FiveThou,Middle,False,Adventurous,False,Older,FamilySedan,False,City,False,Football,False,TwentyThou,True,SubStandard,False,Good,Poor,Many,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adolescent,Domino,Middle,True,Adventurous,False,Older,FamilySedan,False,Rural,False,Tank,False,FiveThou,False,Normal,False,Good,Excellent,One,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,FiveThou,Prole,False,Normal,False,Current,Economy,False,City,True,EggShell,False,TenThou,True,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adult,FiftyThou,Middle,False,Normal,True,Older,SportsCar,False,Suburb,False,EggShell,False,FiveThou,False,SubStandard,False,Poor,Poor,Many,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adult,FiftyThou,UpperMiddle,False,Adventurous,True,Current,Luxury,False,Suburb,False,Football,True,FiftyThou,True,SubStandard,False,Good,Poor,Many,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,Domino,Prole,False,Normal,False,Older,Economy,False,City,False,EggShell,False,FiveThou,False,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,FiftyThou,UpperMiddle,False,Normal,True,Older,FamilySedan,False,Suburb,True,Football,False,FiveThou,False,Normal,False,Good,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adult,FiftyThou,Middle,False,Psychopath,False,Current,FamilySedan,False,City,False,Football,False,TwentyThou,True,SubStandard,False,Good,Poor,Many,Moderate,Moderate,HundredThou,Thousand,Thousand,HundredThou,HundredThou
Adolescent,TwentyThou,Prole,False,Normal,True,Older,Economy,False,Rural,False,EggShell,False,FiveThou,False,SubStandard,False,Poor,Poor,Many,Moderate,Moderate,Thousand,HundredThou,Thousand,TenThou,TenThou
Adult,TwentyThou,Prole,False,Cautious,True,Older,Economy,False,City,True,EggShell,False,FiveThou,False,SubStandard,False,Poor,Poor,Zero,Moderate,Moderate,Thousand,HundredThou,Million,TenThou,TenThou
Adult,FiftyThou,UpperMiddle,False,Adventurous,True,Current,SportsCar,False,Secure,False,EggShell,True,TwentyThou,True,Normal,False,Fair,Excellent,One,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Senior,FiveThou,Prole,False,Cautious,False,Older,Economy,True,City,True,EggShell,False,FiveThou,True,Normal,False,Poor,Normal,One,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,TwentyThou,Middle,False,Adventurous,True,Older,FamilySedan,False,Suburb,False,Tank,False,FiveThou,False,SubStandard,False,Excellent,Poor,Many,Mild,None,TenThou,Thousand,Thousand,Thousand,TenThou
Adult,TwentyThou,Prole,False,Normal,False,Older,Economy,False,Rural,False,EggShell,False,TenThou,False,SubStandard,False,Poor,Poor,One,Severe,Severe,TenThou,Thousand,TenThou,TenThou,HundredThou
Adult,TwentyThou,UpperMiddle,False,Adventurous,True,Current,Luxury,False,Suburb,False,Football,True,FiftyThou,True,Normal,False,Good,Poor,One,Severe,Severe,TenThou,Thousand,Thousand,HundredThou,HundredThou
Adult,TwentyThou,Prole,False,Normal,True,Older,SportsCar,False,City,False,EggShell,False,TwentyThou,False,Normal,False,Poor,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adolescent,TwentyThou,UpperMiddle,True,Normal,True,Older,Luxury,False,Secure,True,Tank,False,FiftyThou,True,SubStandard,False,Excellent,Poor,Many,Mild,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adolescent,FiftyThou,Prole,False,Adventurous,False,Older,Economy,False,City,False,EggShell,False,FiveThou,False,SubStandard,False,Poor,Poor,Many,Severe,Severe,Thousand,TenThou,Thousand,TenThou,TenThou
Adult,TwentyThou,UpperMiddle,False,Normal,True,Current,Luxury,False,Rural,True,Tank,True,FiftyThou,True,Normal,False,Excellent,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,FiftyThou,Middle,False,Normal,False,Older,Economy,False,Suburb,False,EggShell,False,FiveThou,False,SubStandard,False,Fair,Poor,Many,Severe,Severe,HundredThou,Thousand,TenThou,TenThou,HundredThou
Adolescent,Domino,Prole,False,Normal,False,Older,FamilySedan,False,City,False,EggShell,False,FiveThou,False,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,Domino,Prole,False,Normal,False,Older,Economy,True,Rural,False,EggShell,False,FiveThou,False,Normal,False,Poor,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Senior,FiveThou,Middle,False,Cautious,True,Older,Economy,True,Secure,True,EggShell,False,TenThou,True,Expert,False,Poor,Excellent,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Adolescent,FiftyThou,Prole,False,Adventurous,True,Older,SportsCar,False,City,False,EggShell,False,FiveThou,False,Normal,False,Poor,Excellent,One,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,Domino,Prole,False,Normal,False,Older,FamilySedan,False,City,False,Football,False,FiveThou,False,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,TwentyThou,Prole,False,Normal,True,Older,Economy,False,City,False,EggShell,False,FiveThou,False,Normal,False,Poor,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Senior,FiftyThou,Prole,False,Normal,False,Older,Economy,False,City,False,EggShell,False,FiveThou,False,Normal,False,Poor,Normal,One,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,FiftyThou,Prole,False,Cautious,True,Older,Economy,True,City,True,EggShell,False,FiveThou,False,SubStandard,False,Poor,Poor,Zero,Severe,Severe,TenThou,TenThou,Thousand,TenThou,TenThou
Adult,FiftyThou,Middle,False,Adventurous,True,Older,SportsCar,False,City,False,EggShell,False,FiveThou,False,SubStandard,False,Fair,Poor,Many,Severe,Severe,HundredThou,Thousand,Thousand,TenThou,Million
Adult,FiftyThou,Middle,False,Adventurous,True,Older,FamilySedan,False,Suburb,False,Football,False,FiveThou,False,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
Senior,FiftyThou,Prole,False,Normal,False,Older,Economy,True,City,False,EggShell,False,FiveThou,False,Normal,False,Poor,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,TwentyThou,Prole,False,Adventurous,False,Older,Economy,False,City,False,EggShell,False,FiveThou,False,Normal,False,Poor,Poor,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,TwentyThou,Middle,False,Normal,True,Older,Economy,False,Suburb,False,EggShell,False,FiveThou,False,Normal,False,Fair,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,TwentyThou,Prole,False,Cautious,False,Older,Economy,True,City,True,EggShell,False,FiveThou,False,Normal,False,Poor,Normal,Zero,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,FiftyThou,Prole,False,Adventurous,False,Older,FamilySedan,False,City,False,Tank,False,FiveThou,False,Normal,False,Good,Normal,Many,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Adult,FiftyThou,UpperMiddle,False,Cautious,True,Current,Luxury,False,Secure,True,Tank,True,FiftyThou,True,SubStandard,False,Excellent,Poor,Many,None,None,Thousand,Thousand,Thousand,Thousand,Thousand
Senior,TwentyThou,Prole,False,Cautious,False,Older,Economy,True,Suburb,True,EggShell,False,FiveThou,True,SubStandard,False,Good,Poor,Many,Moderate,Moderate,Thousand,Thousand,Thousand,TenThou,TenThou
Adult,TwentyThou,UpperMiddle,False,Adventurous,True,Current,SportsCar,False,Suburb,False,EggShell,True,TenThou,True,SubStandard,False,Fair,Poor,Many,None,None,Thousand,Thousand,Thousand,Thousand,TenThou
